"Land Area","Trade flow","Commodity","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015"
"Ethiopia","Import","Fish","101","","39","","420","","551","","274","","489","","1002","","751","","1569","","898","","1088","","1395","","1898","","2739","","3464","","3386",""
"Gabon","Export","Crustaceans","11305","","8994","","8821","","9105","","16989","","21986","","13526","","12169","","4380","","432","","137","F","0","-","491","F","12","F","6","F","0","-"
"Gabon","Export","Fish","1279","","731","","1675","","691","","2382","","2298","","2324","","2633","","3036","","1708","","1470","F","1639","F","2569","F","2716","F","3003","F","3314","F"
"Gabon","Import","Crustaceans","63","","14","","28","","54","","36","","66","","44","","126","","209","","218","","188","F","198","F","530","F","617","F","955","F","437","F"
"Gabon","Import","Fish","9670","","10429","","1611","","7386","","9724","","11062","","12919","","13391","","17056","","19064","","21381","F","33020","F","37421","F","40412","F","59053","F","53318","F"
"Gambia","Export","Crustaceans","1935","","696","","232","","92","","73","F","439","F","55","","416","","30","","14","","55","","0","-","34","","36","","93","","37","F"
"Gambia","Export","Fish","1353","","584","","737","","201","","206","F","463","F","260","","2438","","2198","","5041","","6429","","2833","","2230","","1517","","1745","","1183","F"
"Gambia","Import","Crustaceans","18","","405","","12","","0","-","9","F","11","","0","-","0","-","13","","0","-","0","-","8","","3","","1","","117","","180","F"
"Gambia","Import","Fish","471","","683","","433","","278","","475","F","344","F","556","F","845","","787","","775","","1477","","748","","429","","373","","224","","389","F"
"Ghana","Export","Crustaceans","935","","947","","528","F","1088","","276","","824","","1217","","2069","","620","","89","","21","","680","F","19","","390","","521","","164",""
"Ghana","Export","Fish","76795","","82431","","75355","F","119106","","92478","","95718","","49484","","57427","","43394","","53653","F","54758","F","55492","F","61451","F","59695","F","59279","F","70468","F"
"Ghana","Import","Crustaceans","3","","4","","32","","189","","105","","193","","130","","333","","134","","259","","60","","627","","308","","217","","374","","190",""
"Ghana","Import","Fish","82848","","90611","","120384","","55746","","116504","F","180676","","121129","","163987","","121274","","115997","","141579","","266918","","232386","","360111","","253611","","255438",""
"Guinea","Export","Crustaceans","675","","588","","365","","799","","120","","22","","11","","0","-","0","-","998","F","509","F","455","F","456","F","200","","49","","5",""
"Guinea","Export","Fish","4103","F","4040","F","2469","","3600","F","6767","F","9960","","7004","","4583","","5482","","6049","F","6933","F","7039","F","8256","F","7822","","13263","","10585",""
