"Land Area","Trade flow","Commodity","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015"
"Panama","Export","Crustaceans","79958","","106024","","97281","","89899","","92835","","87349","","69087","","64385","","45605","","46095","","37311","","38370","","42660","","75278","","80903","","68662",""
"Panama","Export","Fish","163383","","205046","","225177","","308093","","342435","","334569","","296028","","284187","","340503","","314980","","150286","","72891","","61700","","68052","","85979","","87121",""
"Panama","Import","Crustaceans","512","","471","","789","","877","","670","","447","","296","","870","","1166","","660","","701","","1094","","1569","","2917","","5523","","4479",""
"Panama","Import","Fish","13305","","10333","","13441","","15443","","13579","","19545","","17520","","20521","","26770","","28054","","32087","","38485","","48040","","50029","","55818","","62101",""
"Paraguay","Export","Fish","45","","70","","39","","98","","206","","201","","230","","170","","95","","45","","19","","14","","15","","14","","14","","12",""
"Paraguay","Import","Crustaceans","126","","59","","52","","46","","49","","35","","117","","82","","245","","346","","348","","829","","229","","944","","671","","997",""
"Paraguay","Import","Fish","1389","","1462","","909","","708","","1261","","1376","","1243","","2154","","3396","","3550","","5179","","5384","","6372","","6216","","7823","","6552",""
"Peru","Export","Crustaceans","9004","","13010","","17810","","19150","","26596","","40332","","48703","","57014","","65812","","63695","","69698","","92721","","94390","","130983","","165510","","145229",""
"Peru","Export","Fish","107232","","128182","","80653","","81492","","97583","","102817","","163276","","200472","","237330","","213616","","190293","","348384","","388148","","301211","","303447","","294076",""
"Peru","Import","Crustaceans","42","","387","","740","","807","","1405","","1473","","1953","","2993","","3701","","2288","","2943","","4340","","4116","","7113","","10367","","21647",""
"Peru","Import","Fish","15332","","20879","","23297","","23616","","24829","","44582","","24671","","30108","","56672","","73173","","148854","","123642","","131380","","193413","","162190","","204870",""
"Saint Kitts and Nevis","Export","Crustaceans","245","","131","","23","","41","","36","","0","-","239","","411","","458","","465","","466","","659","F","300","F","295","F","290","F","290","F"
"Saint Kitts and Nevis","Export","Fish","0","-","0","-","0","0","0","0","0","0","0","-","3","","9","","24","","27","","27","","30","","26","F","61","F","49","F","4","F"
"Saint Kitts and Nevis","Import","Crustaceans","343","","143","","142","","177","","448","","154","","676","","687","","683","","431","","473","F","374","","430","F","605","F","574","F","621","F"
"Saint Kitts and Nevis","Import","Fish","2117","","1624","","1629","","1667","","2075","","784","","3343","","3152","","2923","","3270","","3291","","2809","","2076","F","3197","F","2561","F","3058","F"
"Saint Lucia","Export","Crustaceans","0","-","0","-","0","-","30","","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","22","","0","-"
"Saint Lucia","Export","Fish","0","-","37","","83","","0","0","0","-","0","-","1","","0","-","107","","0","-","0","-","0","-","31","F","0","-","1","","0","-"
"Saint Lucia","Import","Crustaceans","786","","930","","593","","993","","884","","837","","778","","862","","860","","983","F","1319","F","1107","F","1392","F","412","F","1676","","2493","F"
"Saint Lucia","Import","Fish","3777","","3012","","3491","","3844","","4513","","4935","","5182","","5653","","7198","","5201","F","5099","F","6051","F","7937","F","6345","F","8123","","7784","F"
"Saint Vincent/Grenadines","Export","Crustaceans","334","","388","","573","","294","","346","","410","","158","","135","","375","","355","","401","","182","","193","","177","F","392","F","359","F"
"Saint Vincent/Grenadines","Export","Fish","623","","240","","138","","215","","62","","21","","80","","134","","135","","50","","64","","83","","82","","91","F","112","F","104","F"
"Saint Vincent/Grenadines","Import","Crustaceans","54","","126","","105","","86","","52","","106","","152","","288","","370","","181","","198","","240","","291","","276","F","220","F","306",""
"Saint Vincent/Grenadines","Import","Fish","1076","","1151","","1239","","1297","","1527","","1754","","1847","","1866","","2087","","1727","","1723","","1695","","1942","","1869","F","1862","F","1980",""
"St. Pierre and Miquelon","Export","Crustaceans","77","F","403","F","25","F","44","F","855","F","752","F","867","F","1079","F","748","F","665","F","834","F","860","F","1207","F","968","F","383","F","208","F"
"St. Pierre and Miquelon","Export","Fish","6844","F","4382","F","4045","F","3306","F","4484","F","5199","F","5795","F","7447","F","8617","F","4394","F","2981","F","1592","F","1593","F","1018","F","962","F","705","F"
"St. Pierre and Miquelon","Import","Crustaceans","25","F","27","F","20","F","30","F","39","F","21","F","14","F","132","F","23","F","46","F","53","F","60","F","78","F","68","F","50","F","79","F"
"St. Pierre and Miquelon","Import","Fish","130","F","112","F","90","F","80","F","57","F","24","F","122","F","89","F","67","F","48","","96","F","154","F","182","F","162","F","142","F","200","F"
"Suriname","Export","Crustaceans","36028","","34546","","26232","F","32360","F","35129","F","29454","F","27215","F","28528","F","18743","F","25593","F","20281","F","17911","F","20538","F","21609","F","18532","F","17348","F"
"Suriname","Export","Fish","4829","","5153","","11310","F","13608","F","16846","F","16271","F","19044","F","21330","F","34540","F","37617","F","42245","F","46860","F","58638","F","65050","F","70441","F","72637","F"
"Suriname","Import","Crustaceans","3501","","378","F","409","","446","","22","","30","","6","","26","","2","","10","","14","","7","","184","","464","","270","","346","F"
"Suriname","Import","Fish","2684","","2469","F","2309","","3052","","3252","","4003","","2996","","3822","","3173","","4081","","4705","","2932","","4056","","4756","","4105","","5155","F"
"Trinidad and Tobago","Export","Crustaceans","1281","","1520","","979","","1091","","809","","730","","449","","333","","260","","568","","266","","428","F","247","F","204","F","249","F","60","F"
"Trinidad and Tobago","Export","Fish","9327","","8945","","10430","","8867","","6068","","8205","","9938","","8914","","11835","","11501","","10153","","11221","F","10597","F","12433","F","12789","F","20689","F"
"Trinidad and Tobago","Import","Crustaceans","142","","178","","233","","230","","442","","973","","1625","","2459","","3778","","3337","","3941","","5811","F","8061","F","9639","F","10983","F","8794","F"
"Trinidad and Tobago","Import","Fish","6383","","8198","","11357","","11679","","13173","","20783","","17658","","22968","","22373","","24899","","23528","","28908","F","30307","F","38805","F","37426","F","39650","F"
"Turks and Caicos Is.","Export","Crustaceans","1425","F","1983","F","1759","F","1575","F","2756","F","2852","","3002","","2899","","1149","","1055","","954","F","1028","","1059","","964","F","1549","F","1724","F"
"Turks and Caicos Is.","Export","Fish","0","-","2","F","1","","24","F","0","-","41","","19","","4","","6","","0","0","0","0","0","-","0","-","177","F","292","F","0","-"
"Turks and Caicos Is.","Import","Crustaceans","882","F","1006","F","954","F","1108","F","990","F","980","F","1176","F","1361","","1251","","1202","","872","F","1163","","1081","","843","F","1554","F","1740","F"
"Turks and Caicos Is.","Import","Fish","978","F","1019","F","1052","F","1114","F","1157","F","1299","","2138","","2468","","2559","","2512","","1790","F","2251","","2430","","2870","F","2881","F","3133","F"
"United States of America","Export","Crustaceans","592662","","520254","","572908","","622330","","531232","","608406","","597007","","663732","","690352","","658774","","760457","","960987","","916972","","963994","","1163263","","1179063",""
"United States of America","Export","Fish","2090472","","2442560","","2334007","","2435902","","2709887","","3127276","","3050755","","3259080","","3189282","","2882985","","3205657","","3988126","","3658353","","3744719","","3683358","","3591359",""
"United States of America","Import","Crustaceans","5542717","","5553676","","5510043","","6044872","","6043386","","6157991","","6698227","","6695080","","6809294","","6041314","","6852836","","7868512","","7250772","","8233126","","9972540","","8759933",""
"United States of America","Import","Fish","4249670","","4179916","","4488223","","4888097","","5185430","","5736944","","6410353","","6839276","","7165723","","6912643","","7617620","","8353384","","9098438","","9382943","","9926427","","9657909",""
"Uruguay","Export","Crustaceans","10189","","5572","","6316","","8101","","7797","","7573","","10978","","11957","","8814","","9238","","9554","","7444","","3417","","5016","","5110","","2946",""
"Uruguay","Export","Fish","86514","","82867","","84198","","90458","","113273","","117861","","123971","","139234","","183360","","158418","","167317","","219839","","180336","","134666","","146177","","108059",""
"Uruguay","Import","Crustaceans","750","","802","","251","","648","","442","","1557","","1297","","2714","","2275","","1717","","1834","","2574","","2199","","3187","","3812","","3021",""
"Uruguay","Import","Fish","10166","","14178","","10835","","13899","","14907","","15170","","24465","","37588","","45123","","45976","","54973","","54807","","47511","","51210","","51593","","39345",""
"Venezuela, Boliv Rep of","Export","Crustaceans","135453","","104652","","81428","","44712","","55501","","105125","","22552","","31091","","27174","","29719","","10867","","13795","","13188","","14287","","18513","","29688",""
"Venezuela, Boliv Rep of","Export","Fish","17446","","32925","","49413","","30098","","43259","","58931","","2450","","4312","F","7314","F","8095","F","7173","F","9698","F","9933","F","11924","F","7810","F","10021","F"
"Venezuela, Boliv Rep of","Import","Crustaceans","655","","536","","1192","","598","","669","","368","","574","","418","","9335","","325","","1025","","555","","567","","1169","","645","","203",""
"Venezuela, Boliv Rep of","Import","Fish","33791","","47304","","33749","","10343","","40227","","45479","","55628","","132332","","317547","","419768","","213338","","249812","","326839","","306763","","326650","","60243",""
"Afghanistan","Import","Fish","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","9","","0","-","0","-","0","-","0","-","0","-"
"Armenia","Export","Crustaceans","81","","15","","1665","","3079","","2752","","2705","","3992","","4152","","4720","","3403","","3785","","5984","","7510","","15703","","13523","F","3355",""
"Armenia","Export","Fish","14","","143","","42","","92","","183","","475","","567","","531","","678","","124","","3898","","10189","","14977","","17897","","17906","","11603",""
"Armenia","Import","Crustaceans","10","","0","-","2","","9","","2","","1","","3","","22","","126","","173","","185","","112","","248","","351","","219","","278",""
"Armenia","Import","Fish","661","","1307","","767","","603","","597","","3001","","2310","","2695","","7362","","6894","","4761","","6436","","6061","","5457","","5812","","5084",""
"Azerbaijan","Export","Fish","2101","","798","","1148","","4083","","4638","","7252","","659","","5851","","5601","","5954","","1021","","226","","0","-","24","","0","-","23",""
"Azerbaijan","Import","Crustaceans","3","","4","","14","","7","","5","","49","","29","","52","","77","","48","","198","","212","","240","","334","","336","F","199",""
"Azerbaijan","Import","Fish","1439","","1309","","1943","","2111","","2306","","4755","","2867","","5725","","11032","","16002","","11185","","11595","","12428","","15192","","12964","F","10843","F"
"Bahrain","Export","Crustaceans","8014","","7213","","7867","","7217","","10914","","8958","","9091","","9050","","10828","","10688","","10585","","17149","","15794","","17211","","18897","","21451",""
"Bahrain","Export","Fish","1502","","2229","","2758","","3095","","2312","","1940","","2267","","2367","","5985","","4630","","2828","","2748","","4173","","2534","","1960","","3721",""
"Bahrain","Import","Crustaceans","895","","851","","2928","","1057","","1574","","2835","","2125","","1514","","2195","","3143","","3237","","3793","","6647","","4063","","11623","","10790",""
"Bahrain","Import","Fish","3747","","5615","","6392","","5700","","5273","","7835","","6023","","7210","","14256","","10749","","12605","","16550","","22980","","21791","","24101","","25358",""
"Bangladesh","Export","Crustaceans","311879","","333821","","275975","","303051","","345482","","551840","","401277","","569351","","461399","","321969","","441332","","502920","F","412195","","464340","","540746","","396282",""
"Bangladesh","Export","Fish","30698","F","22011","","25305","","21796","","24734","","79815","","46440","","57511","","96665","","72215","","96872","","135459","F","82564","","68374","","57651","","49535",""
"Bangladesh","Import","Crustaceans","300","F","194","","565","","166","","5186","","2802","","429","","272","","768","","11623","","2654","","3769","","1719","","3822","","2975","F","2498",""
"Bangladesh","Import","Fish","2875","F","5875","","9210","","5291","","7990","","1118","","2048","","5086","","4203","","6453","","13705","","11316","","15301","","27647","","41404","F","52878",""
"Bhutan","Export","Fish","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","0","0","-","0",".","0","-","0","-","3","F","0","-","1","F"
"Bhutan","Import","Crustaceans","0",".","0",".","0",".","0",".","0",".","7","","7","","11","","20","","19","","23","","26","","46","","25","F","0","-","3","F"
"Bhutan","Import","Fish","0",".","0",".","0",".","0",".","0",".","1859","","1997","","3029","","2251","","2433","","3102","","3509","","4574","","5013","F","5171","F","4822","F"
"Brunei Darussalam","Export","Crustaceans","132","F","196","","380","","531","","917","","2894","F","4976","","4969","F","2331","F","1337","F","1246","F","567","F","585","","1558","","2056","","1482","F"
"Brunei Darussalam","Export","Fish","164","F","137","","52","","167","","200","","159","F","326","","63","F","143","F","263","F","513","F","1013","F","1752","","2332","","1803","","1642",""
"Brunei Darussalam","Import","Crustaceans","2751","F","3206","","2273","","2194","","3646","","2173","F","6185","","3192","F","3112","F","3016","F","3153","F","2894","F","8973","","11467","","10499","","8479",""
"Brunei Darussalam","Import","Fish","9200","F","8354","","8394","","7584","","10263","","12460","F","17351","","13226","F","13246","F","13216","F","18508","F","23720","F","27830","","31746","","28426","","26700",""
"Cambodia","Export","Crustaceans","2009","","1916","","955","","876","","10548","","7164","","1688","","579","","420","","451","","1199","","2135","","1231","","868","","572","","419",""
"Cambodia","Export","Fish","32102","","29941","","35024","","36519","","30922","","40641","","24963","","22595","","24118","","29894","","38539","F","57808","F","59728","F","61609","F","63328","F","65475","F"
"Cambodia","Import","Crustaceans","1","","9","","3","","0","-","108","","6737","","674","","15","","21","","31","","299","","179","","271","","621","","2155","","997",""
"Cambodia","Import","Fish","2708","","448","","550","","3000","","3036","","2780","","3443","","3037","","2365","","4201","","2667","","3180","","4314","","2692","","12500","","5681",""
"China","Export","Crustaceans","596458","","720868","","901035","","1332283","","1559312","","1624675","","1974696","","1863190","","2033962","","2091114","","2548852","","3259444","","3640354","","3980309","","4179094","","3432246",""
"China","Export","Fish","2353628","","2582783","","2734797","","3001901","","3896131","","4558666","","5509643","","5896162","","6472323","","6410499","","8148211","","10205801","","10683258","","11045046","","11538511","","10991570",""
"China","Import","Crustaceans","216386","","193917","","193348","","299464","","324714","","294756","","303701","","323183","","322451","","347908","","526205","","840449","","1133958","","1437524","","1671382","","1861078",""
"China","Import","Fish","816667","","948065","","1102870","","1319372","","1700576","","2333056","","2539572","","2777207","","2894591","","2884290","","3358114","","4039108","","3686876","","3806353","","4166967","","3697215",""
"China, Hong Kong SAR","Export","Crustaceans","4053","","1502","","1047","","863","","942","","314","","1182","","332","","562","","867","","355","","1562","","1435","","896","","462","","775",""
"China, Hong Kong SAR","Export","Fish","66962","","48654","","47529","","42313","","41805","","40154","","38954","","33836","","33669","","34604","","34723","","38612","","35705","","43637","","36921","","32753",""
"China, Hong Kong SAR","Import","Crustaceans","453708","","411342","","364988","","329422","","310967","","305799","","389879","","426236","","492710","","563062","","615701","","705535","","878649","","859023","","795623","","686023",""
"China, Hong Kong SAR","Import","Fish","954290","","862565","","847893","","855139","","933833","","900414","","909748","","970918","","1118051","","1095983","","1306255","","1468789","","1521588","","1548894","","1612277","","1702904",""
"China, Macao SAR","Export","Crustaceans","2577","","2371","","2330","","1440","","262","","238","","242","","244","","185","","222","","0","-","0","-","0","-","0","-","0","-","0","-"
"China, Macao SAR","Export","Fish","31","","0","-","0","-","0","-","437","","471","","576","","830","","1131","","2930","","0","-","0","-","0","-","0","-","0","-","0","-"
"China, Macao SAR","Import","Crustaceans","1924","","2308","","3027","","3538","","3200","","3391","","4065","","5784","","7176","","8510","","11924","","15653","","19173","","22860","","27160","","34349",""
"China, Macao SAR","Import","Fish","9789","","11715","","14527","","18893","","17720","","19072","","20922","","24498","","30907","","36493","","39612","","43884","","50441","","53198","","67537","","68303",""
"Cyprus","Export","Crustaceans","307","","601","","383","","108","","44","","184","","12","","19","","1","","0","-","1","","0","-","0","-","69","","0","-","194",""
"Cyprus","Export","Fish","5991","","6052","","4980","","4285","","27265","","30514","","25079","","31478","","42609","","13524","","16830","","27593","","20889","","32518","","29212","","31262",""
"Cyprus","Import","Crustaceans","3150","","4379","","2732","","3698","","4885","","5895","","7506","","9925","","11577","","10440","","11096","","13639","","12123","","11021","","14083","","11825",""
"Cyprus","Import","Fish","16909","","18491","","17915","","19491","","30196","","32726","","34998","","51461","","58547","","42922","","44139","","46417","","42416","","43892","","47981","","43008",""
"Georgia","Export","Crustaceans","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","1","","0","-","1","","22","","65","","0","-","1",""
"Georgia","Export","Fish","108","","288","","50","","298","","247","","981","","903","","1947","","6024","","4525","","6639","","3291","","1806","","2435","","2668","","7830",""
"Georgia","Import","Crustaceans","6","","22","","4","","8","","135","","105","","159","","239","","349","","233","","233","","503","","515","","583","","724","","576",""
"Georgia","Import","Fish","1378","","1162","","1422","","2148","","6033","","11429","","26631","","33498","","41147","","30892","","34325","","41306","","43706","","46743","","42734","","39263",""
"India","Export","Crustaceans","977753","","847056","","973725","","981507","","987324","","1035137","","1075822","","998195","","939965","","913020","","1234456","","1846390","","1842457","","2967319","","3943727","","3360311",""
"India","Export","Fish","332596","","284035","","308683","","186331","","246395","","334811","","448172","","428178","","400020","","743643","","843207","","1058800","","977156","","1019899","","999564","","888155",""
"India","Import","Crustaceans","677","","1932","","3512","","4019","","3656","","6554","","5555","","7274","","8602","","6130","","4881","","9217","","9508","","7797","","11643","","14655",""
"India","Import","Fish","9094","","6328","","5307","","5974","","9097","","13768","","17289","","24406","","39713","","29618","","66549","","92097","","51929","","36752","","45644","","49434",""
"Indonesia","Export","Crustaceans","1070333","","1022419","","926912","","942139","","1021482","","1073177","","1244876","","1200387","","1374105","","1158413","","1260462","","1566554","","1617689","","2023398","","2534716","","1946471",""
"Indonesia","Export","Fish","485348","","478826","","531672","","572783","","636343","","669475","","651600","","802088","","980750","","989593","","1163940","","1407508","","1746477","","1598281","","1506401","","1391707",""
"Indonesia","Import","Crustaceans","11487","","11408","","10990","","11352","","57454","","8087","","6071","","9193","","16367","","16388","","25355","","55797","","65917","","69631","","66091","","52863",""
"Indonesia","Import","Fish","18928","","13951","","14213","","17240","","25577","","22791","","32789","","39084","","93803","","129506","","189814","","196907","","149809","","155923","","159961","","157836",""
"Iran (Islamic Rep. of)","Export","Crustaceans","6162","","3425","","17742","","33692","","34046","","4784","","13714","","0","-","0","-","19338","","13340","","20536","","46414","","51183","","50838","","56781",""
"Iran (Islamic Rep. of)","Export","Fish","43793","","40041","","32789","","46782","","39635","","36725","","45792","","31621","F","51831","","74272","","133262","","177843","","190975","","180968","","194793","","151777",""
"Iran (Islamic Rep. of)","Import","Crustaceans","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","309","","116","","69","","1","","0","-","0","-","0","-","0","-"
"Iran (Islamic Rep. of)","Import","Fish","5995","","3179","","7030","","26786","","13516","","16913","","10375","","13589","F","18748","","34855","","82763","","67985","","59836","","96689","","166716","","146687",""
"Iraq","Export","Fish","242","","193","","99","","100","F","75","F","10","","40","","70","","70","","70","","90","F","115","F","94","","96","F","110","F","50","F"
"Iraq","Import","Crustaceans","0",".","0",".","0",".","121","F","66","F","13","F","48","F","110","F","103","F","16","","30","F","150","F","618","F","1027","F","1950","F","2126","F"
"Iraq","Import","Fish","99","","25","","163","","2510","F","8911","F","9519","F","21502","F","22078","F","31562","F","25410","","43126","F","36395","F","34613","F","37634","F","41086","F","39352","F"
"Israel","Export","Crustaceans","0","-","0","-","0","-","0","-","1","","0","-","0","-","0","-","2","","1","","2","","3","","2","","1","","0","-","3",""
"Israel","Export","Fish","7159","","7932","","7318","","10090","","12222","","12832","","13984","","17278","","20933","","21066","","21385","","21126","","21977","","21861","","21174","","16353",""
"Israel","Import","Crustaceans","2594","","3635","F","2605","","4065","F","4317","","5591","","5802","","7339","F","10049","","10181","F","10911","F","17166","","12363","","16574","","24266","","19030",""
"Israel","Import","Fish","117219","F","129682","F","121624","","129331","","135305","","148470","","146664","","171918","","221391","","206614","","277892","","354870","","357713","","416285","","440572","","408512",""
"Japan","Export","Crustaceans","25600","","28581","","25484","","29367","","47980","","52293","","50638","","58554","","35053","","34729","","39043","","31834","","30664","","29823","","36116","","26270",""
"Japan","Export","Fish","502236","","486894","","474660","","532034","","671192","","752173","","894586","","1016652","","1017371","","905567","","1072220","","914344","","924529","","938350","","887688","","876019",""
"Japan","Import","Crustaceans","4600083","","3726810","","3693171","","3085936","","3696959","","3477049","","3496107","","3222258","","3498969","","3146638","","3455204","","4155138","","4181629","","3857380","","3707487","","3092497",""
"Japan","Import","Fish","8666195","","7795565","","7800323","","7454599","","8704014","","8801198","","8254025","","7839071","","9266376","","8120696","","9069369","","10559977","","11023982","","9031143","","8818736","","8160351",""
"Jordan","Export","Fish","1664","","223","","238","","339","","39","","43","","10","","0","-","151","","0","-","0","-","0","-","6","","0","-","0","-","1",""
"Jordan","Import","Crustaceans","238","","353","","348","","872","","1581","","1859","","3325","","3584","","4130","","3951","","4723","","5393","","6339","","5183","","6863","","6766",""
"Jordan","Import","Fish","20438","","22174","","22024","","24837","","33072","","33580","","43225","","50962","","72319","","78640","","72755","","75210","","107551","","98403","","106896","","103695",""
"Kazakhstan","Export","Crustaceans","0","-","19","","0","-","1","","9","","127","","310","","782","","928","","535","","207","","478","","642","","92","","31","","16",""
"Kazakhstan","Export","Fish","11765","","18822","","17702","","21388","","33064","","53449","","50276","","78459","","82473","","85362","","92782","","79910","","68277","","78397","","80335","","53761",""
"Kazakhstan","Import","Crustaceans","186","","271","","208","","206","","324","","564","","903","","1862","","2195","","2061","","2157","","3246","","4532","","5139","","6317","","4672",""
"Kazakhstan","Import","Fish","19067","","15651","","11613","","13723","","14706","","21794","","29485","","49437","","69948","","59559","","50823","","80462","","78547","","79131","","73093","","62142",""
"Korea, Dem. People's Rep","Export","Crustaceans","13340","F","16043","F","54388","F","88148","F","81695","F","22791","F","7533","F","639","F","867","F","2555","F","4003","F","4908","F","5030","F","6656","F","16695","F","25406","F"
"Korea, Dem. People's Rep","Export","Fish","8901","F","9041","F","14565","F","26976","F","28074","F","25716","F","13866","F","11399","F","10556","F","8861","F","13956","F","13842","F","11057","F","13055","F","18876","F","18077","F"
"Korea, Dem. People's Rep","Import","Crustaceans","4132","F","8250","F","14514","F","12316","F","8905","F","9955","F","18024","F","24476","F","31886","F","32753","F","15240","F","5552","F","6614","F","20523","F","4158","F","3670","F"
"Korea, Dem. People's Rep","Import","Fish","6525","F","13959","F","20229","F","25271","F","18486","F","20572","F","25597","F","27743","F","31240","F","43403","F","29541","F","44147","F","63770","F","81377","F","70330","F","65874","F"
"Korea, Republic of","Export","Crustaceans","48278","","37846","","37306","","52629","","58190","","54501","","65732","","59093","","76255","","70968","","77228","","122843","","124805","","84750","","96602","","108402",""
"Korea, Republic of","Export","Fish","895404","","723428","","710355","","649076","","729940","","684986","","639538","","737361","","889505","","960687","","1141243","","1389535","","1466842","","1277185","","1200514","","1027776",""
"Korea, Republic of","Import","Crustaceans","158855","","197337","","280495","","309869","","412460","","403602","","511147","","584345","","520258","","478247","","503557","","630489","","672378","","683665","","914137","","927186",""
"Korea, Republic of","Import","Fish","996186","","1176287","","1298986","","1311418","","1437050","","1507074","","1682532","","1859266","","1814522","","1649344","","1981074","","2363599","","2197365","","2131932","","2259573","","2346617",""
"Kuwait","Export","Crustaceans","5014","","3096","","4426","","1616","","2122","","748","F","2925","","1898","","1999","","1871","","872","","537","","201","F","167","","2","","752",""
"Kuwait","Export","Fish","0","-","49","","40","","306","","43","","41","F","1000","","334","","610","","673","","1088","","865","","565","F","926","","29","","572",""
"Kuwait","Import","Crustaceans","2304","","1831","","2828","","10114","","5920","","4558","F","10495","","16843","","13917","","12634","F","21093","","28499","","24425","F","33109","","51350","","53528",""
"Kuwait","Import","Fish","23244","","21704","","20545","F","32133","F","27089","F","32598","F","45942","","56658","","61387","","77396","F","69018","","81487","","96056","F","103812","","119050","","145644",""
"Kyrgyzstan","Export","Crustaceans","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","6","","24","","0","-","0","-","0","-","0","-","0","-","0","-"
"Kyrgyzstan","Export","Fish","48","","0","0","1","","0","-","12","","0","-","18","","218","","357","","375","","123","","2","","0","-","0","-","1","F","87",""
"Kyrgyzstan","Import","Crustaceans","15","","1","","29","","12","","24","","54","","64","","32","","29","","82","","29","","44","","35","","70","","154","F","18",""
"Kyrgyzstan","Import","Fish","1851","","1166","","1208","","1689","","1921","","1915","","2967","","4547","","6459","","7632","","8903","","11583","","14604","","15769","","17529","F","9999",""
"Lao People's Dem. Rep.","Export","Crustaceans","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","20","F","7","F","0",".","48","F"
"Lao People's Dem. Rep.","Export","Fish","23","F","64","F","12","F","12","F","12","F","17","","3","F","3","","6","F","7","F","12","F","10","F","7","","13","","20","","40",""
"Lao People's Dem. Rep.","Import","Crustaceans","269","F","400","F","154","F","239","F","33","F","159","F","173","F","76","F","439","F","54","F","86","F","169","F","375","F","482","F","605","F","692","F"
"Lao People's Dem. Rep.","Import","Fish","1790","F","1628","F","1465","F","2020","F","2194","F","2666","F","2659","F","3204","F","3074","F","3310","F","3313","F","4942","F","5571","F","5870","F","7113","F","10345","F"
"Lebanon","Export","Crustaceans","35","","11","","12","","8","","52","","16","","22","","52","","132","","203","","90","","104","","242","","297","","102","","65","F"
"Lebanon","Export","Fish","77","","99","","209","","717","","583","","959","","1619","","2680","","4296","","6023","","2588","","2516","","2047","","2462","","2511","","2620","F"
"Lebanon","Import","Crustaceans","5152","","7138","","6699","","6968","","7553","","8675","","7258","","10860","","11710","","15898","","17040","","22175","","20203","","17482","","27065","","24516","F"
"Lebanon","Import","Fish","35399","","44422","","36015","","35826","","44183","","44746","","53296","","60096","","71945","","77568","","92066","","96169","","107931","","117558","","122950","","112750","F"
"Malaysia","Export","Crustaceans","105274","","116978","","208200","","127631","","338305","","358820","","319605","","368610","","383003","","313535","","439173","","494660","","419281","","376027","","443156","","273291",""
"Malaysia","Export","Fish","53278","","61632","","94855","","73272","","130793","","154317","","182678","","217368","","249122","","240620","","265238","","281907","","285092","","272577","","280064","","266361",""
"Malaysia","Import","Crustaceans","58402","","69852","","80125","","90799","","197992","","171483","","150162","","178749","","118605","","155885","","206495","","260206","","277417","","228694","","321296","","190865",""
"Malaysia","Import","Fish","220024","","234404","","279630","","252884","","301463","","316242","","371929","","403004","","403449","","441996","","479691","","613844","","671766","","692104","","651313","","566224",""
"Maldives","Export","Crustaceans","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","10","","0","-","0","-"
"Maldives","Export","Fish","37662","","40238","","51830","","72029","","86634","","99249","","131180","","104129","","122687","","73596","","69965","","116835","","157318","","137785","","140746","","139443",""
"Maldives","Import","Crustaceans","0",".","1470","","1677","","1897","","2451","","1752","","3158","","4696","","4391","","4045","","5064","","6187","","9329","","10910","","12820","","12756",""
"Maldives","Import","Fish","0",".","608","","679","","722","","986","","822","","1546","","2455","","2900","","2969","","4345","","8620","","7343","","8612","","10313","","8790",""
"Mongolia","Export","Crustaceans","0",".","0",".","0",".","10","","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","72","F","0","-","0","-","0","-"
"Mongolia","Export","Fish","222","","75","","147","","152","","95","","249","","231","","118","","89","F","70","F","205","F","193","F","144","F","75","","109","","134",""
"Mongolia","Import","Crustaceans","1","","2","","3","","2","","36","","6","","1","","9","","0","-","83","F","8","F","11","","80","F","138","","12","","83",""
"Mongolia","Import","Fish","224","","354","","353","","339","","208","","326","","394","","775","","1102","F","1087","F","2673","F","3912","F","6129","F","4269","","2823","","2409",""
"Myanmar","Export","Crustaceans","114942","","137546","","147927","","174236","","191287","","261662","","178155","","177408","","194082","","151645","","121008","","135730","","158445","","169157","","153591","","149462",""
"Myanmar","Export","Fish","68765","","80745","","103607","","143146","","127227","","190295","","199796","","190417","","348070","","319357","","357751","","392885","","468453","","457554","","365814","","309045",""
"Myanmar","Import","Crustaceans","14","F","70","","144","F","548","F","615","F","696","F","640","F","268","F","1073","F","1608","F","2179","F","3222","F","2498","F","2202","F","4404","F","5293","F"
"Myanmar","Import","Fish","421","F","77","","307","F","789","F","1137","F","1341","F","1619","F","2284","F","3174","F","4163","F","7612","F","10966","F","14020","F","18822","F","16036","F","29139","F"
"Nepal","Export","Fish","71","F","27","F","0","-","16","","42","F","33","F","0","-","0","-","0","-","3","","4","","5","","9","","4","","5","","5",""
